,precision,recall,f1-score,support
Corn (Maize) - Cercospora Leaf Spot,1.0,0.9777777777777777,0.9887640449438202,45.0
Corn (Maize) - Common Rust,0.9795918367346939,1.0,0.9896907216494846,48.0
Corn (Maize) - Healthy,1.0,1.0,1.0,47.0
Corn (Maize) - Northern Leaf Blight,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
Potato - Early Blight,1.0,1.0,1.0,49.0
Potato - Healthy,1.0,1.0,1.0,46.0
Potato - Late Blight,1.0,1.0,1.0,49.0
Strawberry - Healthy,1.0,1.0,1.0,46.0
Strawberry - Leaf Scorch,1.0,1.0,1.0,45.0
accuracy,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931
macro avg,0.99541761148904,0.995216049382716,0.9952912703622191,423.0
weighted avg,0.9953201138611473,0.9952718676122931,0.995270772249757,423.0
