model,family,R2_train,R2_test,overfit_gap,RMSE_train,RMSE_test,RMSE_test_excl_Sudan,MAE_test,MeanResidual_2013,R2_gain_vs_baseline,RMSE_improve_vs_base%,beats_baseline,fit_time_sec,predict_time_ms
Lasso,Linear,0.9704,0.9627,0.0077,13407.0,17043.8,17076.8,8089.9,674.5,0.0008,0.99,True,36.319,0.006
Ridge,Linear,0.9704,0.9627,0.0078,13405.7,17051.5,17084.4,8132.6,670.3,0.0007,0.95,True,0.163,0.006
LinearRegression,Linear,0.9704,0.9627,0.0078,13405.6,17055.4,17088.3,8145.1,668.4,0.0007,0.93,True,0.302,0.006
CatBoost,Boosting,0.9828,0.9625,0.0204,10208.6,17095.0,17108.3,8244.3,1727.0,0.0005,0.7,True,79.958,0.005
LagOnlyBaseline,Baseline,0.9696,0.9619,0.0076,13601.2,17214.9,17249.1,7855.1,998.5,0.0,0.0,False,0.144,0.006
LightGBM,Boosting,0.9852,0.9615,0.0237,9493.6,17315.1,17340.8,8288.6,2045.0,-0.0004,-0.58,False,1.613,0.011
GradientBoosting,Boosting,0.9884,0.9614,0.027,8402.7,17346.1,17350.5,8170.9,1796.2,-0.0006,-0.76,False,38.875,0.028
XGBoost,Boosting,0.9925,0.9606,0.0319,6752.1,17507.6,17524.9,8486.5,1687.3,-0.0013,-1.7,False,1.718,0.009
ExtraTrees,Bagging,1.0,0.96,0.04,0.0,17641.5,17672.2,8329.8,1591.3,-0.0019,-2.48,False,11.625,0.049
RandomForest,Bagging,0.9958,0.9592,0.0366,5043.0,17819.2,17851.7,8334.6,1363.7,-0.0027,-3.51,False,9.114,0.046
DecisionTree,Tree,0.9937,0.9405,0.0532,6203.9,21533.7,21571.9,10104.1,1594.2,-0.0215,-25.09,False,0.552,0.007
